NAMESPACE              NAME                                                              READY   STATUS             RESTARTS   AGE
spc                    spc-calc-service-dc2-66bb4d4bf4-pcq2m                             0/1     Terminating        0          48m
spc                    spc-calc-service-dc2-66bb4d4bf4-qx765                             0/1     Pending            0          39m
spc                    spc-calc-service-dc2-66bb4d4bf4-r9m6x                             1/1     Terminating        0          17h
spc                    spc-calc-service-dc2-66bb4d4bf4-thqdj                             0/1     Pending            0          40m
spc                    spc-chart-service-dc2-6c5fd5b8db-bs8zs                            0/1     Terminating        0          45m
spc                    spc-chart-service-dc2-6c5fd5b8db-gmmkw                            1/1     Terminating        0          47m
spc                    spc-chart-service-dc2-6c5fd5b8db-kkqmb                            0/1     Pending            0          39m
spc                    spc-chart-service-dc2-6c5fd5b8db-l8srg                            0/1     Pending            0          40m
spc                    spc-chart-service-dc2-6c5fd5b8db-wl9cw                            1/1     Terminating        0          19h
spc                    spc-chart-service-dc2-6c5fd5b8db-zmc7x                            1/1     Terminating        0          2d20h
spc                    spc-etl-service-dc2-75597b5568-77h2v                              0/1     Pending            0          39m
spc                    spc-etl-service-dc2-75597b5568-9hml9                              1/1     Terminating        0          2d20h
spc                    spc-etl-service-dc2-75597b5568-dc5td                              0/1     Terminating        0          48m
spc                    spc-etl-service-dc2-75597b5568-f4n6n                              1/1     Terminating        0          2d20h
spc                    spc-etl-service-dc2-75597b5568-hbsrp                              0/1     Terminating        1          48m
spc                    spc-etl-service-dc2-75597b5568-kgclq                              0/1     Terminating        0          19h
spc                    spc-etl-service-dc2-75597b5568-kprkc                              0/1     Terminating        3          47m
spc                    spc-etl-service-dc2-75597b5568-txvq6                              0/1     Pending            0          40m
spc                    spc-etl-service-dc2-75597b5568-vdn6r                              0/1     Terminating        0          45m
spc                    spc-etl-service-dc2-75597b5568-vv8qj                              0/1     Pending            0          39m
spc                    spc-mspc-service-dc2-69c679d975-2cdvg                             1/1     Terminating        0          47m
spc                    spc-mspc-service-dc2-69c679d975-67nnn                             0/1     Pending            0          39m
spc                    spc-mspc-service-dc2-69c679d975-p78hq                             1/1     Terminating        0          2d20h
spc                    spc-mspc-service-dc2-69c679d975-r85gm                             0/1     Terminating        0          48m
spc                    spc-mspc-service-dc2-69c679d975-zgmdh                             0/1     Terminating        0          45m
spc                    spc-mspc-service-dc2-75b474d6d4-8nrdd                             1/1     Terminating        0          8d
spc                    spc-rpt-service-dc2-7f9c79865b-bcgxm                              1/1     Terminating        0          2d20h
spc                    spc-rpt-service-dc2-7f9c79865b-bw7p8                              0/1     Terminating        0          45m
spc                    spc-rpt-service-dc2-7f9c79865b-c6pl8                              0/1     Pending            0          40m
spc                    spc-rpt-service-dc2-7f9c79865b-dqcnk                              0/1     Terminating        0          19h
spc                    spc-rpt-service-dc2-7f9c79865b-jqmsg                              0/1     Pending            0          39m
spc                    spc-rpt-service-dc2-7f9c79865b-ksklw                              0/1     Terminating        1          48m
spc                    spc-rpt-service-dc2-7f9c79865b-s9p7d                              0/1     Terminating        0          48m
spc                    spc-scheduling-service-dc2-5f5b6c4f76-856rl                       1/1     Terminating        0          2d20h
spc                    spc-scheduling-service-dc2-5f5b6c4f76-xpp7c                       0/1     Pending            0          40m
spc                    spc-service-dc2-c8c5f98fd-4gjqj                                   0/1     Terminating        1          48m
spc                    spc-service-dc2-c8c5f98fd-8x2pz                                   1/1     Terminating        0          19h
spc                    spc-service-dc2-c8c5f98fd-dzwk9                                   0/1     Terminating        0          45m
spc                    spc-service-dc2-c8c5f98fd-glbj5                                   0/1     Pending            0          40m
spc                    spc-service-dc2-c8c5f98fd-hb8gx                                   0/1     Terminating        0          47m
spc                    spc-service-dc2-c8c5f98fd-lfcpq                                   1/1     Terminating        0          21h
spc                    spc-service-dc2-c8c5f98fd-qrv9t                                   0/1     Pending            0          39m
spc                    spc-service-dc2-c8c5f98fd-ws6j4                                   0/1     Terminating        0          48m
spc                    spc-ui-service-dc2-5f4f97b7cf-5ddls                               0/1     Terminating        0          45m
spc                    spc-ui-service-dc2-5f4f97b7cf-5mm56                               1/1     Terminating        0          48m
spc                    spc-ui-service-dc2-5f4f97b7cf-6djds                               0/1     Pending            0          40m
spc                    spc-ui-service-dc2-5f4f97b7cf-h9zjf                               1/1     Terminating        0          19h
spc                    spc-ui-service-dc2-5f4f97b7cf-hcxlz                               1/1     Terminating        0          2d20h
spc                    spc-ui-service-dc2-5f4f97b7cf-j2njg                               0/1     Terminating        0          48m
spc                    spc-ui-service-dc2-5f4f97b7cf-zlrwh                               0/1     Pending            0          39m
spc                    wat-service-dc2-7cf5dc44c5-5qjm9                                  0/1     Terminating        0          45m
spc                    wat-service-dc2-7cf5dc44c5-7hjp2                                  0/1     Pending            0          40m
spc                    wat-service-dc2-7cf5dc44c5-9q87c                                  0/1     Terminating        0          47m
spc                    wat-service-dc2-7cf5dc44c5-bcsfs                                  1/1     Terminating        0          2d20h
spc                    wat-service-dc2-7cf5dc44c5-djgvf                                  0/1     Terminating        0          48m
spc                    wat-service-dc2-7cf5dc44c5-h8b89                                  0/1     Terminating        1          48m
spc                    wat-service-dc2-7cf5dc44c5-hh6xr                                  1/1     Terminating        0          2d20h
spc                    wat-service-dc2-7cf5dc44c5-prlmf                                  0/1     Pending            0          39m
test                   redis-example-96fc9c8fc-bb7hf                                     1/1     Terminating        0          18h
traefik                traefik-5946b866cd-2dqww                                          0/1     Pending            0          35m
traefik                traefik-5946b866cd-4fjsm                                          1/1     Terminating        0          2d20h
traefik                traefik-5946b866cd-9gdvn                                          1/1     Terminating        0          2d20h
traefik                traefik-5946b866cd-fwnhh                                          0/1     Pending            0          36m
traefik                traefik-5946b866cd-k7zzn                                          1/1     Terminating        1          2d20h
traefik                traefik-5946b866cd-lzdbc                                          0/1     Pending            0          34m
traefik                traefik-5946b866cd-pl2hr                                          1/1     Terminating        0          2d20h
traefik                traefik-5946b866cd-vr4fm                                          0/1     Pending            0          35m
